row#,user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,to_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long,Car_Cancellation,Dist_trip_length
1,17712,12,,2,1021,1323,,,1/1/13 22:33,,0,0,1/1/13 8:01,13.02853,77.54625,12.869805,77.653211,0,21.13894511
2,17037,12,,2,455,1330,,,1/1/13 12:43,,0,0,1/1/13 9:59,12.999874,77.67812,12.953434,77.70651,0,6.017465895
3,761,12,,2,814,393,,,1/2/13 0:28,1/3/13 0:00,1,0,1/1/13 12:14,12.908993,77.6889,13.19956,77.70688,0,32.40452446
4,868,12,,2,297,212,,,1/1/13 13:12,,0,0,1/1/13 12:42,12.99789,77.61488,12.99474,77.60797,0,0.827485695
5,21716,28,,2,1237,330,,,1/1/13 16:33,,0,0,1/1/13 15:07,12.92645,77.61206,12.858833,77.589127,0,7.927800969
6,38966,12,,2,61,393,,,1/1/13 18:00,,0,0,1/1/13 15:11,12.96298,77.71229,13.19956,77.70688,0,26.34253047
7,22196,12,,2,409,1194,,,1/1/13 16:19,,0,0,1/1/13 15:40,13.07746,77.60668,13.00446,77.56923,0,9.084726303
8,22200,12,,2,1371,839,,,1/2/13 10:33,,1,0,1/1/13 17:21,13.000418,77.674835,12.85773,77.78642,0,19.97179079
9,22201,12,1,3,1323,,,,1/1/13 19:55,1/1/13 0:00,1,0,1/1/13 17:25,12.869805,77.653211,,,0,8679.378117
10,22202,12,,2,1017,496,,,1/2/13 5:02,,0,0,1/1/13 17:30,13.11084,77.60074,13.05845,77.64075,0,7.268640798
11,22203,12,,2,1373,1390,,,1/1/13 18:28,,0,0,1/1/13 17:54,13.037255,77.58166,12.969368,77.641302,0,9.947839475
12,819,12,,2,1323,585,,,1/2/13 16:04,,1,0,1/1/13 18:38,12.869805,77.653211,12.97677,77.5727,0,14.76793031
13,15846,12,2,3,142,,,,1/2/13 3:07,,0,0,1/1/13 19:37,12.91281,77.60923,,,0,8674.84521
14,3316,24,,2,58,393,,,1/2/13 17:31,,0,0,1/1/13 20:39,12.88963,77.60119,13.19956,77.70688,0,36.35534143
15,19469,85,,2,393,392,,,1/2/13 12:14,,0,0,1/1/13 21:04,13.19956,77.70688,12.986284,77.735245,0,23.94017534
16,15815,12,,2,145,871,,,1/2/13 8:09,,0,0,1/1/13 21:31,12.99067,77.65587,12.98712,77.56624,0,9.730316849
17,21903,12,,2,1384,1053,,,1/2/13 6:14,,1,0,1/1/13 21:54,13.02853,77.54625,12.912799,77.589784,0,13.72142333
18,7500,12,,2,112,393,,,1/2/13 8:38,,0,0,1/1/13 22:41,12.93331,77.56666,13.19956,77.70688,0,33.31149792
19,19322,12,,2,515,186,,,1/2/13 6:28,,1,0,1/2/13 0:41,12.97896,77.67345,12.80257,77.70453,1,19.92320396
20,12827,12,,2,793,949,,,1/2/13 9:36,,0,0,1/2/13 7:24,13.02239,77.59492,12.98275,77.61582,0,4.960944192
21,22223,12,,2,455,1183,,,1/2/13 11:31,,0,0,1/2/13 8:05,12.999874,77.67812,12.965563,77.668576,0,3.957307755
22,15611,12,,2,516,393,,,1/2/13 10:33,,0,0,1/2/13 8:05,13.0056,77.65799,13.19956,77.70688,0,22.23270004
23,21235,12,,2,393,217,,,1/24/13 11:16,,1,0,1/2/13 8:45,13.19956,77.70688,13.0011,77.6235,0,23.87058094
24,15529,12,2,3,217,,,,1/2/13 14:24,,0,0,1/2/13 9:04,13.0011,77.6235,,,0,8676.874695
25,22226,12,,2,344,585,,,1/2/13 16:48,,1,0,1/2/13 9:21,12.94788,77.67092,12.97677,77.5727,0,11.1299601
26,22229,12,2,3,1053,,,,1/2/13 11:31,,0,0,1/2/13 10:29,12.912799,77.589784,,,0,8672.737714
27,22230,85,,2,1301,393,,,1/2/13 17:31,,0,0,1/2/13 10:48,12.937222,77.626915,13.19956,77.70688,0,30.46350422
28,21333,28,,2,1223,585,,,1/2/13 21:36,,0,0,1/2/13 10:52,13.012419,77.555151,12.97677,77.5727,0,4.401346839
29,22234,12,,2,58,1069,,,1/2/13 12:43,,0,0,1/2/13 11:58,12.88963,77.60119,12.949764,77.643524,0,8.118456203
30,18777,12,1,3,293,,,,1/2/13 17:02,1/2/13 0:00,1,0,1/2/13 12:15,12.849482,77.663187,,,0,8680.349467
31,22196,12,,2,1194,409,,,1/2/13 13:55,,0,0,1/2/13 12:30,13.00446,77.56923,13.07746,77.60668,0,9.084726303
32,1112,12,,2,353,393,,,1/2/13 20:09,,1,0,1/2/13 12:59,13.03241,77.59914,13.19956,77.70688,0,21.96956647
33,22239,85,,2,393,1056,,,1/2/13 19:26,1/3/13 0:00,1,0,1/2/13 14:06,13.19956,77.70688,12.919199,77.60931,0,32.95439082
34,19545,12,,2,1068,105,,,1/2/13 17:31,,1,0,1/2/13 14:46,13.044009,77.606805,13.01766,77.64503,0,5.078343385
35,22243,12,,2,479,393,,,1/3/13 5:45,,0,0,1/2/13 15:12,13.02298,77.60922,13.19956,77.70688,0,22.32706251
36,22245,12,,2,1084,112,,,1/2/13 23:02,,0,0,1/2/13 15:45,12.892657,77.581866,12.93331,77.56666,0,4.816863247
37,22252,12,,2,393,1237,,,1/2/13 21:21,,0,0,1/2/13 18:04,13.19956,77.70688,12.92645,77.61206,0,32.09416164
38,16903,12,,2,293,292,,,1/2/13 19:26,,0,0,1/2/13 18:14,12.849482,77.663187,12.93944,77.62923,0,10.67049482
39,22255,12,,2,352,393,,,1/3/13 4:04,,0,0,1/2/13 19:19,13.03369,77.62821,13.19956,77.70688,0,20.33925573
40,33542,12,,2,393,171,,,1/2/13 22:19,,0,0,1/2/13 19:25,13.19956,77.70688,12.98479,77.66128,0,24.41400077
41,21148,12,,2,585,458,,,1/2/13 21:50,,0,0,1/2/13 20:16,12.97677,77.5727,13.00037,77.72746,0,16.99137841
42,17888,12,,2,849,1312,,,1/3/13 8:09,,1,0,1/2/13 20:38,12.95434,77.60072,12.839879,77.658145,0,14.18382748
43,21761,12,,2,392,297,,,1/2/13 22:33,,1,0,1/2/13 20:39,12.986284,77.735245,12.99789,77.61488,0,13.11975714
44,22265,12,,2,156,585,,,1/3/13 6:28,,0,0,1/2/13 22:09,13.02622,77.70143,12.97677,77.5727,0,15.00874386
45,22266,12,,2,1192,968,,,1/3/13 6:00,,0,0,1/2/13 22:14,12.97677,77.5727,12.96555,77.61912,0,5.188187067
46,21941,85,,2,585,112,,,1/3/13 9:07,,0,0,1/3/13 7:36,12.97677,77.5727,12.93331,77.56666,0,4.882123711
47,22274,12,,2,572,793,,,1/3/13 12:00,,0,0,1/3/13 9:45,12.91873,77.61494,13.02239,77.59492,0,11.74198088
48,41448,12,1,3,767,,,,1/5/13 14:24,1/5/13 0:00,1,0,1/3/13 10:32,12.9122,77.51043,,,0,8664.134611
49,21343,85,,2,410,393,,,1/4/13 8:24,,0,0,1/3/13 13:27,13.05121,77.54113,13.19956,77.70688,0,24.40518188
50,22282,65,,2,450,393,,,1/5/13 7:12,1/6/13 0:00,1,0,1/3/13 15:10,12.9334,77.62652,13.19956,77.70688,0,30.88368286
51,22285,12,,2,1085,393,,,1/4/13 4:19,,1,0,1/3/13 16:01,12.911942,77.651582,13.19956,77.70688,0,32.57424888
52,22286,12,,2,1388,1390,,,1/3/13 18:00,,1,0,1/3/13 16:16,12.919722,77.592806,12.969368,77.641302,0,7.630529769
53,22063,12,,2,585,767,,,1/3/13 22:33,,0,0,1/3/13 17:49,12.97677,77.5727,12.9122,77.51043,0,9.864367381
54,22293,12,,2,1183,393,,,1/4/13 8:24,,0,0,1/3/13 18:14,12.965563,77.668576,13.19956,77.70688,0,26.377495
55,9506,12,,2,572,708,,,1/4/13 6:28,,0,0,1/3/13 21:08,12.91873,77.61494,13.03504,77.62341,0,12.98014546
56,22303,12,,2,849,393,,,1/5/13 6:57,,0,0,1/3/13 23:13,12.95434,77.60072,13.19956,77.70688,0,29.62562956
57,1186,12,,2,83,393,,,1/4/13 4:19,,0,0,1/3/13 23:14,12.92415,77.67229,13.19956,77.70688,0,30.88713979
58,22297,12,,2,1166,1096,,,1/4/13 12:43,,0,0,1/4/13 10:16,12.997198,77.669514,12.96519,77.71932,0,6.471854351
59,20109,12,,2,667,585,,,1/4/13 14:24,,0,0,1/4/13 10:29,12.97165,77.51316,12.97677,77.5727,0,6.483866031
60,18046,12,,2,393,1136,,,1/4/13 16:19,,1,0,1/4/13 10:47,13.19956,77.70688,12.99049,77.69798,0,23.29359177
61,22236,24,2,3,1191,,,,1/4/13 12:28,,0,0,1/4/13 11:24,13.03017,77.56684,,,0,8670.897005
62,22318,65,,1,293,,15,32,1/5/13 7:55,1/6/13 0:00,0,0,1/4/13 12:43,12.849482,77.663187,,,0,8680.349467
63,19126,12,2,3,145,,,,1/4/13 15:50,,0,0,1/4/13 14:23,12.99067,77.65587,,,0,8680.324411
64,22325,85,,2,1384,1298,,,1/7/13 6:28,,0,0,1/4/13 14:54,13.02853,77.54625,12.879678,77.646355,0,19.8118742
65,22327,12,,2,1095,1371,,,1/5/13 12:14,,0,0,1/4/13 15:19,12.92415,77.67229,13.000418,77.674835,0,8.494613438
66,22335,85,,2,293,393,,,1/5/13 6:43,,0,0,1/4/13 17:06,12.849482,77.663187,13.19956,77.70688,0,39.25760818
67,756,12,,2,83,849,,,1/4/13 19:26,,0,0,1/4/13 17:28,12.92415,77.67229,12.95434,77.60072,0,8.460932583
68,2017,12,,2,571,136,,,1/4/13 22:04,,0,0,1/4/13 18:07,12.95185,77.69642,12.90796,77.62418,0,9.235949983
69,22338,12,,2,852,1078,,,1/4/13 18:57,,0,0,1/4/13 18:07,12.98758,77.60512,12.992123,77.581667,0,2.593749603
70,20690,12,,2,271,455,,,1/4/13 22:19,,0,0,1/4/13 18:20,12.95641,77.64076,12.999874,77.67812,0,6.311432298
71,15485,12,,2,1217,410,,,1/5/13 16:33,,1,0,1/4/13 18:26,13.04937,77.51179,13.05121,77.54113,0,3.188347617
72,22343,28,,2,768,393,,,1/5/13 5:31,,0,0,1/4/13 19:04,12.98999,77.55332,13.19956,77.70688,0,28.66125311
73,22347,12,,2,1044,393,,,1/5/13 3:36,,1,0,1/4/13 20:08,12.968887,77.644329,13.19956,77.70688,0,26.55903841
74,22352,28,2,3,115,,,,1/6/13 1:26,1/6/13 0:00,1,0,1/4/13 21:02,12.99319,77.54472,,,0,8668.296515
75,22360,12,,2,393,1033,,,1/7/13 8:09,,1,0,1/4/13 22:46,13.19956,77.70688,12.906358,77.599547,0,34.65244668
76,19163,12,,2,293,1166,,,1/5/13 12:28,,1,0,1/4/13 23:36,12.849482,77.663187,12.997198,77.669514,0,16.45801359
77,22367,12,,2,1384,839,,,1/6/13 6:43,,0,0,1/5/13 9:02,13.02853,77.54625,12.85773,77.78642,0,32.25588873
78,20430,12,1,3,89,,,,1/5/13 10:48,,0,0,1/5/13 9:28,12.96519,77.71932,,,0,8687.060105
79,22369,12,1,3,1170,,,,1/5/13 12:00,1/5/13 0:00,1,0,1/5/13 10:28,12.98793,77.52612,,,0,8666.252388
80,22377,12,,2,974,393,,,1/6/13 4:33,,1,0,1/5/13 11:48,13.07557,77.55904,13.19956,77.70688,0,21.15103614
81,15272,28,,2,585,767,,,1/6/13 11:16,,1,0,1/5/13 13:27,12.97677,77.5727,12.9122,77.51043,0,9.864367381
82,1055,12,,2,352,168,,,1/6/13 5:02,,0,0,1/5/13 13:47,13.03369,77.62821,12.99313,77.59828,0,5.560965546
83,22381,12,,2,1056,625,,,1/5/13 15:21,,0,0,1/5/13 13:54,12.919199,77.60931,12.95431,77.6553,0,6.338237254
84,16934,12,2,3,293,,,,1/5/13 15:36,,0,0,1/5/13 14:38,12.849482,77.663187,,,0,8680.349467
85,18898,12,,2,363,393,,,1/7/13 4:48,,0,0,1/5/13 15:10,12.99287,77.71662,13.19956,77.70688,0,23.03287702
86,18898,85,,2,393,363,,,1/25/13 22:33,,0,0,1/5/13 15:14,13.19956,77.70688,12.99287,77.71662,0,23.03287702
87,18310,12,,2,814,570,,,1/5/13 16:19,1/6/13 0:00,1,0,1/5/13 15:15,12.908993,77.6889,12.94832,77.5882,0,11.77016751
88,22346,12,,2,784,393,,,1/6/13 4:19,,0,0,1/5/13 15:33,12.96634,77.60709,13.19956,77.70688,0,28.12651928
89,20916,12,,2,849,601,,,1/5/13 23:02,,0,0,1/5/13 16:31,12.95434,77.60072,13.02434,77.56593,0,8.658059568
90,22388,12,,2,393,515,,,1/5/13 23:31,,1,0,1/5/13 16:49,13.19956,77.70688,12.97896,77.67345,0,24.82318074
91,22389,85,,2,571,667,,,1/5/13 18:00,,0,0,1/5/13 16:59,12.95185,77.69642,12.97165,77.51316,0,20.00244294
92,16425,12,,2,1383,567,,,1/6/13 8:24,,0,0,1/5/13 18:16,12.930451,77.685822,12.95764,77.6043,0,9.347945148
93,18275,12,,2,142,567,,,1/6/13 8:09,,1,0,1/5/13 19:19,12.91281,77.60923,12.95764,77.6043,0,5.019041446
94,22357,12,,2,218,271,,,1/6/13 10:33,,0,0,1/5/13 19:24,12.96799,77.58882,12.95641,77.64076,0,5.780184605
95,22397,12,,2,393,1371,,,1/6/13 10:04,,0,0,1/5/13 20:02,13.19956,77.70688,13.000418,77.674835,0,22.43902939
96,22404,12,,2,1086,852,,,1/6/13 0:57,,0,0,1/5/13 21:48,12.907487,77.64729,12.98758,77.60512,0,10.02119198
97,756,12,,2,603,83,,,1/5/13 23:31,,0,0,1/5/13 22:47,12.97357,77.61043,12.92415,77.67229,0,8.677827439
98,22412,12,,1,344,,15,160,1/6/13 7:55,1/6/13 8:00,0,0,1/5/13 23:51,12.94788,77.67092,,,0,8681.721549
99,22416,65,,2,452,393,,,1/6/13 12:57,,0,0,1/6/13 1:27,12.95278,77.59088,13.19956,77.70688,0,30.21411815
100,22417,12,,2,1038,393,,,1/6/13 13:40,,0,0,1/6/13 3:32,12.981266,77.637162,13.19956,77.70688,0,25.44902353
101,19900,12,,2,1111,1349,,,1/6/13 8:38,,0,0,1/6/13 7:19,12.90796,77.62418,12.993686,77.587527,0,10.33829885
102,4099,12,,2,393,542,,,1/7/13 5:31,,0,0,1/6/13 7:56,13.19956,77.70688,12.93823,77.62289,0,30.48348967
103,21901,12,2,3,58,,,,1/6/13 12:00,1/6/13 0:00,1,0,1/6/13 8:31,12.88963,77.60119,,,0,8673.847379
104,22422,12,1,3,450,,,,1/6/13 12:57,,0,0,1/6/13 8:42,12.9334,77.62652,,,0,8676.831319
105,22424,12,,2,433,1084,,,1/6/13 16:33,,0,0,1/6/13 9:19,12.91226,77.59773,12.892657,77.581866,0,2.779417754
106,21727,85,,2,393,793,,,1/6/13 21:36,,0,0,1/6/13 12:07,13.19956,77.70688,13.02239,77.59492,0,23.15856185
107,22434,12,,2,561,393,,,1/7/13 19:55,,0,0,1/6/13 12:11,13.00983,77.62967,13.19956,77.70688,0,22.71913228
108,22437,12,,2,448,1192,,,1/6/13 18:57,,0,0,1/6/13 13:11,12.92732,77.63575,12.97677,77.5727,0,8.780076862
109,7500,28,2,3,112,,,,1/6/13 15:07,,0,0,1/6/13 13:12,12.93331,77.56666,,,0,8670.344135
110,22440,23,,2,1379,393,,,1/6/13 17:02,,1,0,1/6/13 14:01,13.062088,77.473672,13.19956,77.70688,0,29.55273201
111,22442,85,,2,1181,393,,,1/6/13 17:16,,0,0,1/6/13 14:05,12.97896,77.67345,13.19956,77.70688,0,24.82318074
112,22448,12,,2,1056,1021,,,1/6/13 18:57,,0,0,1/6/13 16:46,12.919199,77.60931,13.02853,77.54625,0,13.96136272
113,22236,12,,2,393,949,,,1/7/13 4:19,,1,0,1/6/13 16:53,13.19956,77.70688,12.98275,77.61582,0,26.07663015
114,15800,12,,2,689,601,,,1/6/13 18:57,,0,0,1/6/13 17:13,12.97672,77.64927,13.02434,77.56593,0,10.47926695
115,22456,12,,2,1189,1384,,,1/7/13 8:24,1/8/13 0:00,1,0,1/6/13 20:10,12.91873,77.61494,13.02853,77.54625,0,14.3150919
116,22460,12,,2,1059,393,,,1/7/13 6:14,,0,0,1/6/13 20:49,12.90881,77.631127,13.19956,77.70688,0,33.39241878
117,17008,12,,2,1084,1384,,,1/7/13 9:21,,0,0,1/6/13 22:10,12.892657,77.581866,13.02853,77.54625,0,15.61103053
118,22321,12,,2,1333,393,,,1/9/13 6:28,,0,0,1/6/13 23:04,12.895675,77.602293,13.19956,77.70688,0,35.67911305
119,22466,12,,2,601,681,,,1/7/13 8:24,,0,0,1/7/13 7:36,13.02434,77.56593,13.09925,77.38845,0,20.97475012
120,16239,12,,2,1017,1334,,,1/7/13 10:04,,1,0,1/7/13 8:26,13.11084,77.60074,13.050994,77.593661,0,6.706108348
121,22470,12,,2,571,168,,,1/7/13 12:43,,0,0,1/7/13 8:36,12.95185,77.69642,12.99313,77.59828,0,11.59549971
122,4227,12,,2,339,392,,,1/7/13 9:50,,0,0,1/7/13 8:40,12.91028,77.64512,12.986284,77.735245,0,12.93000719
123,22471,12,,2,297,1389,,,1/7/13 10:04,,1,0,1/7/13 8:47,12.99789,77.61488,12.919785,77.577031,0,9.615398246
124,22476,65,,2,410,393,,,1/8/13 15:07,,0,0,1/7/13 10:42,13.05121,77.54113,13.19956,77.70688,0,24.40518188
125,22372,12,,2,846,585,,,1/7/13 15:07,,0,0,1/7/13 10:58,12.98635,77.58203,12.97677,77.5727,0,1.470231191
